,name,code,group
0,Area Traffic Management Measures,MATM,
1,Bridge Maintenance Repair,SBMR,
2,Bridge Renewal,SBR,
3,Bridge Resurfacing,SBRS,
4,Buildings & Facilities Renewal,OBLDG,
5,Coordinated Sewer & Water Renewal,RCSW,
6,Culvert Renewal,SCR,
7,Cycling Routes,MCR,
8,Gravel Road Upgrades,RGRU,
9,High Mast Lighting,RHML,
10,Intersection Modifications,MIM,
11,Multi-Use Pathways,MMUP,
12,Network Modifications,MNM,
13,New  Sewer P.S.,GNSPS,
14,New  Water P.S.,GNWPS,
15,New Buildings & Facilities,GNB,
16,New Parks,GNP,
17,New Road Structures,GNRS,
18,New Roads,GNR,
19,New Sewers,GNSP,
20,New Sidewalks,MS,
21,New Transit,GNT,
22,New Transit Park & Ride,GNTPR,
23,New Transit Structures,GNTS,
24,New Water,GNWP,
25,Noise Barrier Renewal,SNBR,
26,Park Renewal,OPARKS,
27,Recreational Path Renewal,ORP,
28,Retaining Wall Renewal,SRWR,
29,Road Resurfacing/Renewal,RRR,
30,"Road, Sewer, Water",RRSW,
31,Roundabouts,MRA,
32,Sewer Lining,RSL,
33,Sewer Network Improvements,RSNI,
34,Sewer P.S. Renewal,RSPS,
35,Sewer Renewal,RS,
36,Sidewalk & Curb  Renewal,RSC,
37,Slope Stability Improvement,SSI,
38,Storm Water Management,SWM,
39,Streetscaping,RSS,
40,Traffic Safety,MTSI,
41,Traffic Signals,MTS,
42,Transit Priority,MTP,
43,Transit Station Renewal,RTS,
44,Transitway Park & Ride,TTPR,
45,Transitway Renewal,TTR,
46,Transitway Structure Maintenance,STSM,
47,Transitway Structure Renewal,TTSR,
48,Water P.S. Renewal,RWPS,
49,Watermain Lining,RWML,
50,Watermain Renewal,RWM,
51,Work By Others,WBO,
52,Work by PWES,WBESD,
53,Not Available,NOTAVAIL,
54,Watermain Cathodic Protection,RWCP,
55,Light Rail Transit,LRT,
56,Floatable and Odor Control,RFOC,
57,Storm Inlet Control Device Installation,RSICDI,
58,Transit Priority Locations,MTPL,
59,Stair Renewal,STRENEW,
60,Natural Feature Renewal,NFRENEW,
61,Road - Crack Sealing,RD_CS,
62,Road - Curb Renewal,RD_CR,
63,Road - Gravel Road Rehabilitation,RD_GRRR,
64,Road - Gravel Road Upgrade to Hard Surface,RD_GRUHS,
65,Road - Guide Rail Renewal or New Installation,RD_GRRNI,
66,Road - Microsurfacing,RD_MISF,
67,Road - Multi-Use Pathway Renewal,RD_MUPR,
68,Road - Pathway Renewal,RD_PARE,
69,Road - Reconstruction,RD_RECO,
70,Road - Resurfacing,RD_RESF,
71,Road - Sidewalk Renewal,RD_SWRE,
72,Road - Slurry Seal,RD_SLUR,
73,Road - Surface Treatment,RD_SURF,
